Name,Adresse,Handynummer,Bewertung,Breite,Länge,Website Url
Haarstudio Ibo,"Gerhofstraße 40, 20354 Hamburg, Germany",+49 40 343268,4.7,53.5548823,9.989231,http://www.friseur-ibo.de/
Studio Endorphine,"Steinwegpassage 2, 20355 Hamburg, Germany",+49 40 27160850,4.6,53.5506051,9.9824067,http://www.studio-endorphine.de/
Friseur IL Barbiere,"ABC-Straße, Eingang, Poststraße 4, 20354 Hamburg, Germany",+49 40 346673,4.6,53.5543681,9.9876784,https://www.instagram.com/il_barbiere81?igsh=MWJ2NHhrZTBxNjkyNQ==
WALTER | KRÜGER für Haar,"Springeltwiete 5, 20095 Hamburg, Germany",+49 40 342049,4.5,53.549538,10.003323,http://www.wk-haar.de/
Maren Zeitler Friseursalon,"Altstädter Str. 15, 20095 Hamburg, Germany",+49 40 324875,4.8,53.5494674,10.002593,
KAYAPATO THE NOBLE SPA,"Ballindamm 13 nicht im Kaufhaus am, Jungfernstieg, 20095 Hamburg, Germany",+49 40 30092257,4.4,53.5543388,9.9991829,http://www.kayapato.de/
Wolf Hairstyling,"Neuer Wall 15, 20354 Hamburg, Germany",+49 40 35015330,4.4,53.552097,9.9921749,https://www.wolfhairstyling.com/
Friseur am Michel,"Wincklerstraße 4, 20459 Hamburg, Germany",+49 40 371598,4.7,53.5478278,9.9802019,http://www.friseur-am-michel.de/
Innenstadt Friseur,"Mohlenhofstraße 4, 20095 Hamburg, Germany",+49 40 327683,4.9,53.5497565,10.0012416,http://www.innenstadtfriseur.de/
Jan Helmers Friseursalon,"Caffamacherreihe 41, 20355 Hamburg, Germany",+49 1512 3211186,4.9,53.5551378,9.9839556,http://www.jan-helmers.de/
Haupt Sache Hairdressing,"Großneumarkt 52, 20459 Hamburg, Germany",+49 40 346976,5,53.5501006,9.9805753,https://hauptsache-hh.de/
Friseur Bei den Mühren (Speicherstadt-Hafencity),"b. den Mühren 6, 20457 Hamburg, Germany",+49 40 30388783,4.6,53.5448931,9.9910382,http://www.friseurbeidenmuehren.de/
The Haarwerk Inh. M.Y.Celik GbR hairdresser,"Lange Reihe 101, 20099 Hamburg, Germany",+49 40 244422,4.7,53.5591883,10.0131262,http://www.dashaarwerkhamburg.de/
Mitschnitt Frisörsalon,"Schulterblatt 121, 20357 Hamburg, Germany",+49 40 437802,4.5,53.5647709,9.9592094,http://mitschnitt-online.de/
joern friseur,"Große Theaterstraße 41, 20354 Hamburg, Germany",+49 40 343422,4.9,53.5565141,9.9907808,https://www.joern-friseur.de/
Cutting Team,"Warburgstraße 7, 20354 Hamburg, Germany",+49 40 449119,5,53.559536,9.9940303,
HAGEL SHOP,"Jungfernstieg 48, 20354 Hamburg, Germany",+49 40 69276906,4.5,53.5551399,9.9897875,http://www.hagel-hair.de/
Möbius Friseursalon GmbH,"Ferdinandstraße 32, 20095 Hamburg, Germany",+49 40 336636,4.9,53.5540258,9.9996166,https://www.moebius-friseure.de/
YAS Friseur,"Herrengraben 25, 20459 Hamburg, Germany",+49 40 24435277,4.8,53.5473334,9.9826069,http://www.yas-friseur.de/
Peter Polzer Salon am Gänsemarkt,"Gänsemarkt 21-23, 20354 Hamburg, Germany",+49 40 342626,4,53.5547428,9.9885531,https://www.peterpolzer.de/salons/gaensemarkt
Svenos Salon,"Altstädter Str. 3, 20095 Hamburg, Germany",+49 40 32507871,4.6,53.5495314,10.0043718,https://www.facebook.com/SvenosSalon/
Cut in Cut out | Friseursalon in Hamburg Eimsbüttel,"Friseursalon | Cut in cut out |, Eppendorfer Weg 54, 20259 Hamburg, Germany",+49 40 56115583,4.8,53.5718159,9.9590931,https://buchung.treatwell.de/ort/100035487/menue/
Morè than Hair - Hamburg,"Elise-Averdieck-Straße 12, 20535 Hamburg, Germany",+49 40 18017645,4.8,53.5575494,10.036584,https://more-than-hair.mytreatwell.de/
Pony & Clyde Friseursalon,"Beim Strohhause 18, 20097 Hamburg, Germany",+49 40 247439,4.6,53.5528657,10.0216347,http://www.pony-clyde.de/
